date_time;resolve;uid;title;url;text;views;answers;author;upvotes;type;tags;;;;;
13/08/2013 12:40;false;1;Character limit;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Character-limit/td-p/23315;Hello, I'm looking for a regex pattern that will limit a data field to only 4 numerical characters. I've searched regex libraries and haven't come up with anything and I do not beleive Docusign has this capabiity built in. Any help would be appreciated. Thank you!;566;1;adamsiemen;0;question;;;;;;%
14/08/2013 08:10;;1.1;Re: Character limit;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Character-limit/td-p/23315;"Hello adamsiemen, 
 
This question is best be addressed in our Dev Zone on stackoverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 
 
***I will be moving this post to the Dev Zone read-only board, but please post API and Integration questions on StackOverflow.com using tag DocuSignAPI.";563;N/A;DocuMarc;0;answer;N/A;;;questions;679;
08/11/2013 04:59;false;2;Set Order of Recepients;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Set-Order-of-Recepients/td-p/25911;"I need to use the API to set the Order of Receipients to sign the document. Can you please guide me how to do this?





 
All API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 


Use tag #DocuSignAPI
 

 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI 
View our most popular API Article: 5 Tips To Remember When Integrating eSignatures
Also visit our Dev Center as well. You can sign up for a FREE Developer  Account and view Training and Documentation for our SOAP and REST API.
 

 
 


 
 
 
 
 
If you found my response helpful, please click the   underneath my profile. 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community! 
Register HERE to Join the Conversation!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";572;1;AtinGupta;0;question;;;;resolved;155;22,83
08/11/2013 11:17;;2.1;Re: Set Order of Recepients;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Set-Order-of-Recepients/td-p/25911;"Use StackOverflow.com with tag #DocuSignAPI








 
All API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 


Use tag #DocuSignAPI
 

 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI 
View our most popular API Article: 5 Tips To Remember When Integrating eSignatures
Also visit our Dev Center as well. You can sign up for a FREE Developer  Account and view Training and Documentation for our SOAP and REST API.
 

 
 


 
 
 
 
 
If you found my response helpful, please click the   underneath my profile. 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community! 
Register HERE to Join the Conversation!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";528;N/A;DocuMarc;0;answer;N/A;;;answers;1538;
12/11/2013 12:47;false;3;Docusign Connect: Send status notification when unable to deliver to Recipient;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Docusign-Connect-Send-status-notification-when-unable-to-deliver/td-p/25961;I'm successfully working with Docusign Connect, but I would really like to see a status notification when Docusign is unable to deliver an email to one of the recipients specified in an envelope. Is this possible?;660;1;perryqh;0;question;;;;upvotes;129;19,00
12/11/2013 13:01;;3.1;Re: Docusign Connect: Send status notification when unable to deliver to Recipient;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Docusign-Connect-Send-status-notification-when-unable-to-deliver/td-p/25961;"Hello perryqh,
 
All Connect  API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 


Use tag #DocuSignAPI
 

 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI  so you can receive updates whenenver your questiosn is answered.
 
View our most popular API Article: 5 Tips To Remember When Integrating eSignatures
Also visit our Dev Center as well. You can sign up for a FREE Developer  Account and view Training and Documentation for our SOAP and REST API.
 

 
 


 
 
 
 
 
If you found my response helpful, please click the   underneath my profile. 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community! 
Register HERE to Join the Conversation!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";658;N/A;DocuMarc;0;answer;N/A;;;;;
20/11/2013 13:34;false;4;If-Then-Else Statements;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/If-Then-Else-Statements/td-p/26297;How do I integrate an if-then-else statement into a powerform template? This is what I want to accomplish: IF ([FieldA] = X) THEN ([FieldB] = Y) ELSE ([FieldB] = Z) The formula tag doesn't seem to allow anything beyond basic mathematical functions.;631;1;fosterks;0;question;;;;;;
25/11/2013 12:52;;4.1;Re: If-Then-Else Statements;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/If-Then-Else-Statements/td-p/26297;"Hello fosterks, 
 
I think you are referring to our formula fields. I believe that this is possible, but formula questions are  best addressed on our DevCommunity  on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 
Here are other formula questions that have been previously asked on Stackoveflow.com
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI. 
Please visit our Dev Center as well. It has Training and Documentation for our SOAP and REST API.
 
You may also find  our QuckStart Guide: Using Calculated Field Feature helpful  
 
 
Thank You for visiting the Community, 
Please post any and all other general questions on this Success Community. 
DocuSign It!!!
MarcAdmin";596;N/A;DocuMarc;0;answer;N/A;;;;;
05/12/2013 21:36;false;5;Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;We need to validate a date field(Data Field) is greater than today's date in DocuSign Template. How can we validate a Date greater than today's date in DocuSign Data Field?;1446;8;MuraliM;0;question;;;;;;
09/12/2013 16:06;;5.1;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;"Hi MuraliM, 
 
You could create a custom tag with a Regex Pattern to validate some response, to exclude entries you don't want them use. However, I would not recommend this for validating a  ""date"".  You would need to update every new day you send out,  and there is no guarantee of validation because there are so many combinations and open errors that one could enter for the invalid date.
 
Here is our online documentation on creating  Custom Tags for future reference.
 
You would be better off, updating the original document  with clear instructions, to educate your recipients.

 
If you found my response helpful, please click the   underneath my profile. 
If solved, please use the   button to help other members with the same question. 
 
 
 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community! 
Register HERE to Join the Conversation!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Guide Index";1419;N/A;DocuMarc;0;answer;N/A;;;;;
