date_time;resolve;uid;type;views;answers;upvotes;author;title;text;url
05/06/15 05:52;false;1322;question;147;1;1;Samir Ruparel (Samir_Ruparel);Receiver of money account verification problem;"When i send money to receiver phone using sandbox account  they received  message i.e ""You've received money from John Doe! Claim at dwolla.com/phone. Your code: 44844"" but when he/she go through link and login with their account and another screen come for verify phone no after inserting right info click on verify the receive error message i.e ""number is already verified""";https://discuss.dwolla.com/t/receiver-of-money-account-verification-problem/1322
05/06/15 16:04;;1322.1;answer;;;0;Gordon Zheng (gordon);;"Hey Samir_Ruparel.  Thanks for the note; we're looking into this.";https://discuss.dwolla.com/t/receiver-of-money-account-verification-problem/1322/1
09/06/15 01:19;false;1346;question;152;1;1;Brandon Ruschill (bruschill);Bypassing the amount per transaction limit;"Hypothetically speaking, if I have a free-tier business account and need to move $100,000, I can just send ten $10,000 transactions, is this correct?
Also, is there a hidden 'a la carte' option offered within the new payment plans where one would be able to only get increased transaction limits so moving large amounts of money would be less of a hassle? 
Thanks,
Brandon";https://discuss.dwolla.com/t/bypassing-the-amount-per-transaction-limit/1346
09/06/15 14:36;;1346.1;answer;;;0;Brian Crall  (BrianC);;"bruschill, 
With the free plan you could send multiple $10K transactions to send $100K. This is ok.
Give me a call at 888-289-8744 Ext 4003 and we can talk through options to get you the best option possible.";https://discuss.dwolla.com/t/bypassing-the-amount-per-transaction-limit/1346/1
09/06/15 09:41;false;1348;question;194;3;0;Fraser Redmond (fraser);API for white-label;"How does the api work with the new white-label feature?
Can we use Mass-Pay like normal, just from/to bank accounts instead of Dwolla accounts?";https://discuss.dwolla.com/t/api-for-white-label/1348
09/06/15 14:28;;1348.1;answer;;;0;Brian Crall  (BrianC);;"fraser, 
Good to hear from you.
There are 2 white label services.
1. White label receiver
This allows an application or business to pay out directly to a DDA (routing# & account#) account rather than a Dwolla account.
The payment would come from the Dwolla UI or API where the sender would use Dwolla's tools to initiate the payment.
2. White label send/receive
This allows an application to send money directly from a routing# & account# to another set of routing#s and account#s without either party using a Dwolla.com or a Dwolla UI.
Both of these services are part of our $1,500 and up package.
Give me a call at 888-289-8744 Ext. 4003 and I'd be happy to walk you through it.";https://discuss.dwolla.com/t/api-for-white-label/1348/1
09/06/15 14:31;;1348.2;answer;;;0;Ben Milne (bpmilne);;"To piggback on what BrianC said. 
You'd probably be more interested in the first option where you could use MassPay ideally to pay out directly to a large group of bank accounts by routing#+account#.";https://discuss.dwolla.com/t/api-for-white-label/1348/2
09/06/15 16:20;;1348.3;answer;;;1;Gordon Zheng (gordon);;"Hey fraser,
We're currently building our White Label product.  From what we have planned so far, you'll create what we're calling a ""billing record"", which represents a user profile consisting of a full name, routing and account number.  Each Billing Record has an ID.  You'll be able to use the existing MassPay endpoint to send money to these Billing Record IDs.";https://discuss.dwolla.com/t/api-for-white-label/1348/3
09/06/15 01:13;true;1345;question;198;5;0;Brandon Ruschill (bruschill);Scheduled Payments and Daily Bank Limits;"I'm wondering how scheduled payments are handled when a scheduled amount is over a user's bank's daily limit. In the past when I've tried to make large purchases online and have passed my daily limit, I have to go to the bank and request a temporary limit increase.
For example: I schedule a payment for $5,000 on behalf of a user, and unbeknownst to me the bank account the user is paying with has a $2,000 daily withdraw limit. When scheduled date arrives and an attempt to transfer the money is made, would the bank reject it? From previous experience I'd say yes, and if so, how would the developer be notified? Or, does it clear regardless because of some magic on Dwolla's end?
Thanks,Brandon";https://discuss.dwolla.com/t/scheduled-payments-and-daily-bank-limits/1345
09/06/15 14:38;;1345.1;answer;;;0;Brian Crall  (BrianC);;"bruschill, 
If the payment fails because the sender's account doesn't have enough money it will be represented as failed, as it fails.
Gordon Spencer, 
What would be the best way for Brandon to monitor for failed transactions with the API?";https://discuss.dwolla.com/t/scheduled-payments-and-daily-bank-limits/1345/1
