date_time;resolve;uid;title;url;text;views;answers;author;upvotes;type;tags
04/07/2013 02:33:00;false;1;CreateEnvelopeFromTemplates and CreateEnvelope Timeout;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/CreateEnvelopeFromTemplates-and-CreateEnvelope-Timeout/td-p/22073;Hello, Sometimes I get a timeout error when calling the following API methods on demo account: CreateEnvelopeFromTemplates and CreateEnvelope The error is: The request channel timed out while waiting for a reply after 00:00:59.9843759. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding The error doesn't happen always, it might be that the service be busy or down for a period of time. So is there anything that I can do, from my side, to reduce the chances of this error or not have it at all?;912;1;aramt;0;question;
04/07/2013 22:49:00;;1.1;Re: CreateEnvelopeFromTemplates and CreateEnvelope Timeout;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/CreateEnvelopeFromTemplates-and-CreateEnvelope-Timeout/td-p/22073;We've had some issues with the demo server recently which is probably what's been causing your occasional timeouts.  Let us know if they start up again but hopefully they don't.  Our production system is fine and has not been experiencing this...;907;N/A;Ergin;0;answer;N/A
31/05/2013 13:09:00;true;2;Allowing Recipient-placed tags;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/Allowing-Recipient-placed-tags/td-p/20727;I've noticed that when I upload an envelope without any tags/tabs associated with it that the recipient is then able to drag and drop signature and other tags anywhere on the documets. This functionality disappears if the envelope has any tabs at all when it's uploaded. Is there any way to override this behavior so that the recipient can add additional signatures/tags themselves even if the sender has already placed tags on the documents?;361;1;amorton;0;question;
02/06/2013 09:46:00;solution;2.1;Re: Allowing Recipient-placed tags;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/Allowing-Recipient-placed-tags/td-p/20727;No it's one or the other.  When you do not set any tabs in the envelope it becomes what's known as a Free Form signing experience.  There's a small section on this on the Stick-eTabs feature page of the Dev Center.  If you include one or more tabs then it's not a Free Form signing and they'll need to sign the tabs that have been added...;351;N/A;Ergin;0;answer;N/A
31/05/2013 14:49:00;true;3;REST API - Change Request Status - Invalid API Version;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/REST-API-Change-Request-Status-Invalid-API-Version/td-p/20729;"Just recently, possibly as early as today, attempting to use the Change Request Status REST API call is returning an invalid API version error. Request Headers + Body{  ""uri"":""https://demo.docusign.net/restapi/v2/accounts/163051/envelopes/95c08eff-76ca-45ce-b88d-1d16ad68b64d"",  ""method"":""PUT"",  ""headers"":{    ""X-DocuSign-Authentication"":""<removed>"",    ""content-length"":22  },  ""body"":""{\n  \""status\"": \""sent\""\n}""}  Response Body{  ""errorCode"":""INVALID_API_VERSION"",  ""message"":""The API Version specified is not valid.""} As far as I am aware, v2 is the latest version and I am unable to select a later one.  We have been using v2 for a very long time and our requests to this API call have not been modified.";486;1;johnk;0;question;
03/06/2013 08:41:00;solution;3.1;Re: REST API - Change Request Status - Invalid API Version;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/REST-API-Change-Request-Status-Invalid-API-Version/td-p/20729;This appears to have been resolved over the weekend.;455;N/A;johnk;0;answer;N/A
16/04/2013 14:01:00;false;4;Require initials a bottom of pages.;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/Require-initials-a-bottom-of-pages/td-p/18811;I have documents with unknown page sizes and configurations. Some are in portrait and some in landscape. The X/Y coordinate system for placing the signature does not work well for these. I need the recipient to initial the bottom lower left corner of all such pages. Can this be done with the REST API? Templates will not work because the pages are always different.;883;7;Perry;0;question;
16/04/2013 15:06:00;;4.1;Re: Require initials a bottom of pages.;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/Require-initials-a-bottom-of-pages/td-p/18811;"Hi,
 
Is there ANY consistency with your documents (perhaps even a header or footer bar or Sign Here text) or are they always potentially 100% different from each other?  
 
The reason I ask is that there are two main ways of specifying the location of tabs- absolute positioning or relative positioning.  It seems as though you are found the absolute positioning method, where x and y locations are specified in some unit of measurement (i.e. inches, cms, pixels, etc.)  The other method is called Anchor based tagging or AnchorTabs.  
 
With anchor tagging you can specify the location of tabs with respect to document content.  So for instance, if you had text somewhere in the document that said ""Please Sign Here"" then you could tell the system to place a signature tab (or any tab for that matter) exactly at that location, or N amount of pixels to right, left, down, up from that text, etc.  
 
Often what we see is that people like to place special tags (such as \s1 for instance) in their documents that are the same color as the document background so that you can't see the actual \s1 string but instead you only see the signature tab there.  Furthermore, you can setup these tags at the account level, and have the system automatically place signature/initial/any tabs there as it finds those special strings in your envelopes.  
 
Would something like that work for your needs?
 
Thanks,
-Ergin";880;N/A;Ergin;0;answer;N/A
16/04/2013 23:35:00;;4.2;Re: Require initials a bottom of pages.;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/Require-initials-a-bottom-of-pages/td-p/18811;Yes, the special tags approach sound good. Is this documented somewhere?  Need to know how to specify these at the account level so the system automatically places these tabs. Also how to place dates that get auto populated upon signature.;870;N/A;Perry;0;answer;N/A
17/04/2013 00:20:00;;4.3;Re: Require initials a bottom of pages.;http://community.docusign.com/t5/DocuSign-API-Integration-NET-READ-ONLY/Require-initials-a-bottom-of-pages/td-p/18811;"Here's a doc that explains how to setup these custom tags.  Notice in the very first screen shot the ""anchor"" field.  That's the field where you specify what document text to anchor to...
 
http://www.docusign.com/sites/default/files/Quick%20Start%20-%20Creating%20Custom%20Tags.pdf";867;N/A;Ergin;0;answer;N/A
